mcc_code,description,bill,merchant
3717,City Lodge Hotels,,1
3718,Karos Hotels,,1
3719,Protea Hotels,,1
3720,Southern Sun Hotels,,1
3721,Hilton Conrad Hotels,,1
3722,Wyndham Hotels,,1
3723,Rica Hotels,,1
3724,Inter Nor Hotels,,1
3725,SeaPines Plantation,,1
3726,Rio Suites,,1
3727,Broadmoor Hotel,,1
3728,Bally's Hotel and Casino,,1
3729,John Ascuaga's Nugget,,1
3730,MGM Grand Hotel,,1
3731,Harrah's Hotels and Casinos,,1
3732,Opryland Hotel,,1
3734,Harvey/Bristol Hotels,,1
3735,Master Economy Inns,,1
3736,Colorado Belle/Edgewater Resort,,1
3737,Riviera Hotel and Casino,,1
3738,Tropicana Resort & Casino,,1
3739,Woodside Hotels & Resorts,,1
3740,Towneplace Suites,,1
3741,Millennium Hotel,,1
3744,Carefree Resorts,,1
3745,St. Regis Hotel,,1
3746,The Eliot Hotel,,1
3747,ClubCorp/ClubResorts?,,1
3748,Wellesley Inns,,1
3749,The Beverly Hills Hotel?,,1
3750,Crown Plaza Hotels,,1
3751,Homewood Suites,,1
3752,Peabody Hotels,,1
3753,Greenbriar Resorts?,,1
3754,Amelia Island Plantation,,1
3755,The Homestead,,1
3757,Canyon Ranch,,1
3758,Kahala Mandarion Oriental Hotel,,1
3759,The Orchid at Mauna Lani?,,1
3760,Halekulani Hotel/Waikiki Parc?,,1
3761,Primadonna Hotel and Casino?,,1
3762,Whisky Pete's Hotel and Casino?,,1
3763,Chateau Elan Winery and Resort?,,1
3764,Beau Rivage Hotel and Casino?,,1
3765,Bellagio,,1
3766,Fremont Hotel and Casino?,,1
3767,Main Street Hotel and Casino?,,1
3768,Silver Star Hotel and Casino?,,1
3769,Stratosphere Hotel and Casino,,1
3770,SpringHill Suites,,1
3771,Caesar's Resort,,1
3772,Nemacolin Woodlands,,1
3773,The Venetian Resort Hotel and Casino?,,1
3774,New York-New York Hotel and Casino,,1
3775,Sands Resort,,1
3776,Nevele Grande Resort and Country Club,,1
3777,Mandalay Bay Resort,,1
3778,Four Points Hotels,,1
3779,W Hotels,,1
3780,Disney Resorts,,1
3781,Patricia Grand Resort Hotels,,1
3782,Rosen Hotels & Resort,,1
3783,Town and Country Resort and Convention Center,,1
3784,First Hospitality Hotel,,1
3785,Outrigger Hotels and Resorts,,1
3786,Ohana Hotel of Hawaii,,1
3787,Caribe Royale Resort Suites & Villas,,1
3788,Ala Moana Hotel / Ala Moana Hotels,,1
3789,Smugglers' Notch Resort,,1
3790,Raffles Hotels,,1
3791,Staybridge Suites,,1
3792,Claridge Casino Hotel,,1
3793,The Flamingo Hotels,,1
3794,Grand Casino Hotels,,1
3795,Paris Las Vegas Hotel,,1
3796,Peppermill Hotel Casino,,1
3797,Atlantic City Hilton,,1
3798,Embassy Vacation Resort,,1
3799,Hale Koa Hotel,,1
3800,Homestead,,1
3801,Wilderness Hotel and Golf Resort,,1
3802,The Palace Hotel,,1
3807,Element,,1
3808,LXR?,,1
3810,La Costa Resort,,1
3811,Premier Travel Inn,,1
3812,Hyatt Place,,1
3813,Hotel Indigo,,1
3814,The Roosevelt Hotel NY,,1
3815,Holiday Inn Nickelodeon,,1
3816,Home2 Suites ,,1
3817,Affinia,,1
3818,Mainstay Suites,,1
3819,Oxford Suites,,1
3820,Jumeirah Essex House,,1
3821,Caribe Royale,,1
3822,Crossland,,1
3823,Grand Sierra Resort,,1
3824,Aria,,1
3825,Vdara,,1
3826,Autograph?,,1
3827,Galt House,,1
3828,Cosmopolitan of Las Vegas,,1
3829,Country Inn by Carlson,,1
3830,Park Plaza Hotel,,1
3831,Waldorf,,1
4011,Railroads,,1
4111,"Local and Suburban Commuter Passenger Transportation, including Ferries",,1
4112,Passenger Rail (train),,1
4119,Ambulance Services,,1
4121,Taxicabs and Limousines,,
4131,"Bus Lines, includes Charters/Tour Buses",,1
4214,"Motor Freight Carriers and Trucking-Local and Long Distance, Moving & Storage Companies, and Local Delivery",,1
